NAME                                                                                                                  VERSION                                    TYPE         
./gopkg.in/yaml                                                                                                       (devel)                                    go-module     
./private_repos/cnrm.googlesource.com/cnrm/                                                                           (devel)                                    go-module     
./private_repos/cnrm.googlesource.com/cnrm/third_party/github.com/terraform-providers/terraform-provider-google-beta  (devel)                                    go-module     
./private_repos/github.com/GoogleContainerTools/kpt/                                                                  (devel)                                    go-module     
./private_repos/istio.io/istio                                                                                        (devel)                                    go-module     
4d63.com/tz                                                                                                           v1.2.0                                     go-module     
CloudDatastore                                                                                                                                                   java-archive  
Django                                                                                                                1.11.9                                     python        
Jinja2                                                                                                                2.6                                        python        
MarkupSafe                                                                                                            0.15                                       python        
MarkupSafe                                                                                                            0.23                                       python        
PyAMF                                                                                                                 0.6.1                                      python        
PyAMF                                                                                                                 0.7.2                                      python        
PyGObject                                                                                                             3.36.0                                     python        
WebOb                                                                                                                 0.9                                        python        
WebOb                                                                                                                 1.1.1                                      python        
WebOb                                                                                                                 1.2.3                                      python        
adduser                                                                                                               3.118ubuntu2                               deb           
alsa-topology-conf                                                                                                    1.2.2-1                                    deb           
alsa-ucm-conf                                                                                                         1.2.2-1ubuntu0.13                          deb           
animal-sniffer-annotations                                                                                            1.19                                       java-archive  
annotations                                                                                                           4.1.1.4                                    java-archive  
anthoscli                                                                                                             (devel)                                    go-module     
antlr-python-runtime                                                                                                  3.1.1                                      python        
apache-jsp                                                                                                            8.5.70                                     java-archive  
apache-jsp                                                                                                            9.4.45.v20220203                           java-archive  
appengine-api                                                                                                         1648970822                                 java-archive  
appengine-api-labs                                                                                                    0                                          java-archive  
appengine-api-stubs                                                                                                                                              java-archive  
appengine-jsr107cache                                                                                                 0.0.0                                      java-archive  
appengine-local-runtime                                                                                                                                          java-archive  
appengine-local-runtime-shared                                                                                                                                   java-archive  
appengine-remote-api                                                                                                  0                                          java-archive  
appengine-testing                                                                                                     0                                          java-archive  
appengine-tools-api                                                                                                   0                                          java-archive  
apt                                                                                                                   2.0.6                                      deb           
argparse                                                                                                              1.2.1                                      python        
asm                                                                                                                   9.2                                        java-archive  
asm-analysis                                                                                                          9.2                                        java-archive  
asm-commons                                                                                                           9.2                                        java-archive  
asm-tree                                                                                                              9.2                                        java-archive  
at-spi2-core                                                                                                          2.36.0-2                                   deb           
auto-common                                                                                                           1.0-SNAPSHOT                               java-archive  
auto-service                                                                                                          1.0-rc2                                    java-archive  
auto-value                                                                                                            1.2                                        java-archive  
auto-value-annotations                                                                                                1.8.2                                      java-archive  
avro                                                                                                                  1.7.1                                      java-archive  
base-files                                                                                                            11ubuntu5.5                                deb           
base-passwd                                                                                                           3.5.47                                     deb           
